Trimestre,Ano,Ciudad,Casos Covid
1,2019,Armenia,0
2,2019,Armenia,0
3,2019,Armenia,0
4,2019,Armenia,0
1,2020,Armenia,13
2,2020,Armenia,99
3,2020,Armenia,2883
4,2020,Armenia,14854
1,2021,Armenia,7937
2,2021,Armenia,11184
3,2021,Armenia,4586
4,2021,Armenia,2815
1,2019,Barranquilla,0
2,2019,Barranquilla,0
3,2019,Barranquilla,0
4,2019,Barranquilla,0
1,2020,Barranquilla,31
2,2020,Barranquilla,13428
3,2020,Barranquilla,24305
4,2020,Barranquilla,20372
1,2021,Barranquilla,41644
2,2021,Barranquilla,86158
3,2021,Barranquilla,17441
4,2021,Barranquilla,17381
1,2019,Bogota,0
2,2019,Bogota,0
3,2019,Bogota,0
4,2019,Bogota,0
1,2020,Bogota,383
2,2020,Bogota,29823
3,2020,Bogota,242068
4,2020,Bogota,214301
1,2021,Bogota,206266
2,2021,Bogota,593869
3,2021,Bogota,163783
4,2021,Bogota,38106
1,2019,Bucaramanga,0
2,2019,Bucaramanga,0
3,2019,Bucaramanga,0
4,2019,Bucaramanga,0
1,2020,Bucaramanga,8
2,2020,Bucaramanga,152
3,2020,Bucaramanga,13987
4,2020,Bucaramanga,15960
1,2021,Bucaramanga,10577
2,2021,Bucaramanga,54448
3,2021,Bucaramanga,12388
4,2021,Bucaramanga,4127
1,2019,Cali,0
2,2019,Cali,0
3,2019,Cali,0
4,2019,Cali,0
1,2020,Cali,79
2,2020,Cali,7326
3,2020,Cali,42929
4,2020,Cali,52264
1,2021,Cali,49104
2,2021,Cali,81862
3,2021,Cali,47202
4,2021,Cali,24595
1,2019,Cartagena,0
2,2019,Cartagena,0
3,2019,Cartagena,0
4,2019,Cartagena,0
1,2020,Cartagena,40
2,2020,Cartagena,8352
3,2020,Cartagena,15211
4,2020,Cartagena,21646
1,2021,Cartagena,14154
2,2021,Cartagena,48448
3,2021,Cartagena,15230
4,2021,Cartagena,6889
1,2019,Cucuta,0
2,2019,Cucuta,0
3,2019,Cucuta,0
4,2019,Cucuta,0
1,2020,Cucuta,15
2,2020,Cucuta,194
3,2020,Cucuta,10436
4,2020,Cucuta,17362
1,2021,Cucuta,6662
2,2021,Cucuta,12605
3,2021,Cucuta,7355
4,2021,Cucuta,7778
1,2019,Florencia,0
2,2019,Florencia,0
3,2019,Florencia,0
4,2019,Florencia,0
1,2020,Florencia,0
2,2020,Florencia,34
3,2020,Florencia,6483
4,2020,Florencia,4586
1,2021,Florencia,1680
2,2021,Florencia,2208
3,2021,Florencia,1527
4,2021,Florencia,222
1,2019,Ibague,0
2,2019,Ibague,0
3,2019,Ibague,0
4,2019,Ibague,0
1,2020,Ibague,9
2,2020,Ibague,262
3,2020,Ibague,8857
4,2020,Ibague,26048
1,2021,Ibague,13246
2,2021,Ibague,17227
3,2021,Ibague,9288
4,2021,Ibague,1126
1,2019,Manizales,0
2,2019,Manizales,0
3,2019,Manizales,0
4,2019,Manizales,0
1,2020,Manizales,5
2,2020,Manizales,122
3,2020,Manizales,3342
4,2020,Manizales,19838
1,2021,Manizales,11777
2,2021,Manizales,28740
3,2021,Manizales,5595
4,2021,Manizales,1368
1,2019,Medellin,0
2,2019,Medellin,0
3,2019,Medellin,0
4,2019,Medellin,0
1,2020,Medellin,62
2,2020,Medellin,2089
3,2020,Medellin,67186
4,2020,Medellin,83786
1,2021,Medellin,63654
2,2021,Medellin,141310
3,2021,Medellin,50004
4,2021,Medellin,37281
1,2019,Monteria,0
2,2019,Monteria,0
3,2019,Monteria,0
4,2019,Monteria,0
1,2020,Monteria,1
2,2020,Monteria,402
3,2020,Monteria,14047
4,2020,Monteria,3426
1,2021,Monteria,8531
2,2021,Monteria,20395
3,2021,Monteria,6896
4,2021,Monteria,746
1,2019,Neiva,0
2,2019,Neiva,0
3,2019,Neiva,0
4,2019,Neiva,0
1,2020,Neiva,21
2,2020,Neiva,167
3,2020,Neiva,7610
4,2020,Neiva,16230
1,2021,Neiva,9600
2,2021,Neiva,14049
3,2021,Neiva,6894
4,2021,Neiva,723
1,2019,Pasto,0
2,2019,Pasto,0
3,2019,Pasto,0
4,2019,Pasto,0
1,2020,Pasto,2
2,2020,Pasto,674
3,2020,Pasto,9561
4,2020,Pasto,9676
1,2021,Pasto,8089
2,2021,Pasto,15790
3,2021,Pasto,5364
4,2021,Pasto,1216
1,2019,Pereira,0
2,2019,Pereira,0
3,2019,Pereira,0
4,2019,Pereira,0
1,2020,Pereira,25
2,2020,Pereira,255
3,2020,Pereira,7840
4,2020,Pereira,15559
1,2021,Pereira,9291
2,2021,Pereira,17849
3,2021,Pereira,6628
4,2021,Pereira,1965
1,2019,Popayan,0
2,2019,Popayan,0
3,2019,Popayan,0
4,2019,Popayan,0
1,2020,Popayan,9
2,2020,Popayan,137
3,2020,Popayan,6400
4,2020,Popayan,7129
1,2021,Popayan,6353
2,2021,Popayan,8153
3,2021,Popayan,6762
4,2021,Popayan,1160
1,2019,Quibdo,0
2,2019,Quibdo,0
3,2019,Quibdo,0
4,2019,Quibdo,0
1,2020,Quibdo,0
2,2020,Quibdo,1273
3,2020,Quibdo,1377
4,2020,Quibdo,620
1,2021,Quibdo,1289
2,2021,Quibdo,5298
3,2021,Quibdo,770
4,2021,Quibdo,103
1,2019,Riohacha,0
2,2019,Riohacha,0
3,2019,Riohacha,0
4,2019,Riohacha,0
1,2020,Riohacha,1
2,2020,Riohacha,84
3,2020,Riohacha,3107
4,2020,Riohacha,2593
1,2021,Riohacha,2376
2,2021,Riohacha,8827
3,2021,Riohacha,613
4,2021,Riohacha,1519
1,2019,Sanandres,0
2,2019,Sanandres,0
3,2019,Sanandres,0
4,2019,Sanandres,0
1,2020,Sanandres,1
2,2020,Sanandres,19
3,2020,Sanandres,1533
4,2020,Sanandres,806
1,2021,Sanandres,312
2,2021,Sanandres,3580
3,2021,Sanandres,374
4,2021,Sanandres,1467
1,2019,Santamarta,0
2,2019,Santamarta,0
3,2019,Santamarta,0
4,2019,Santamarta,0
1,2020,Santamarta,10
2,2020,Santamarta,1051
3,2020,Santamarta,9268
4,2020,Santamarta,7431
1,2021,Santamarta,15094
2,2021,Santamarta,25747
3,2021,Santamarta,8219
4,2021,Santamarta,5566
1,2019,Sincelejo,0
2,2019,Sincelejo,0
3,2019,Sincelejo,0
4,2019,Sincelejo,0
1,2020,Sincelejo,1
2,2020,Sincelejo,1012
3,2020,Sincelejo,8300
4,2020,Sincelejo,1923
1,2021,Sincelejo,3135
2,2021,Sincelejo,17464
3,2021,Sincelejo,5174
4,2021,Sincelejo,422
1,2019,Tunja,0
2,2019,Tunja,0
3,2019,Tunja,0
4,2019,Tunja,0
1,2020,Tunja,2
2,2020,Tunja,111
3,2020,Tunja,2114
4,2020,Tunja,6618
1,2021,Tunja,5221
2,2021,Tunja,11860
3,2021,Tunja,3591
4,2021,Tunja,911
1,2019,Valledupar,0
2,2019,Valledupar,0
3,2019,Valledupar,0
4,2019,Valledupar,0
1,2020,Valledupar,11
2,2020,Valledupar,636
3,2020,Valledupar,14150
4,2020,Valledupar,8213
1,2021,Valledupar,6679
2,2021,Valledupar,27290
3,2021,Valledupar,4116
4,2021,Valledupar,3218
1,2019,Villavicencio,0
2,2019,Villavicencio,0
3,2019,Villavicencio,0
4,2019,Villavicencio,0
1,2020,Villavicencio,11
2,2020,Villavicencio,1149
3,2020,Villavicencio,11913
4,2020,Villavicencio,13153
1,2021,Villavicencio,7017
2,2021,Villavicencio,21469
3,2021,Villavicencio,7717
4,2021,Villavicencio,1358
