CodDepartament,Year,Trimester,Unemployment_percentage,Temperature,Precipitation,GDP,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Vaccination_percentage,Vulnerability_value,Incidence
5,2020,1,12.9,24.14965079365079,7.957837037037038,46018.0,-12.489605734767025,-8.493906810035842,-11.39283154121864,-9.280286738351254,-5.809318996415771,4.227240143369174,0.0,2.0,2.44728083415962e-05
5,2020,2,25.2,22.286967973856207,5.1733387179487185,46018.0,-67.03763440860216,-44.89605734767025,-55.34946236559139,-62.88602150537635,-50.24301075268818,25.5247311827957,0.0,2.0,0.000824575752025717
5,2020,3,20.0,22.73909365079365,7.672981990231991,46018.0,-50.04086021505376,-28.91362007168459,-39.59462365591398,-51.55555555555554,-34.83942652329748,17.956272401433694,0.0,2.0,0.02651984034255616
5,2020,4,15.2,23.15736988936989,8.176093650793648,46018.0,-28.945878136200715,-3.5799283154121877,-27.37096774193548,-28.56774193548387,-19.315053763440858,10.191756272401435,0.0,2.0,0.03307223741466095
5,2021,1,17.9,22.285122807017547,6.2764470899470926,52347.0,-32.214669738863286,-0.6705069124423962,-31.100230414746548,-34.711981566820285,-20.892857142857142,9.510368663594472,0.66,2.0,0.02473709982045841
5,2021,2,16.1,21.641044949494948,6.9181245421245405,52347.0,-30.247670250896057,5.816487455197133,-24.741577060931895,-27.446594982078853,-19.949462365591398,11.968817204301073,19.35,2.0,0.05491563099929272
5,2021,3,15.1,22.108254131054128,5.659601932367147,52347.0,-2.841935483870968,31.68709677419355,-1.0487455197132616,2.5189964157706086,-0.17168458781361995,5.467025089605736,43.25,2.0,0.019432462051437498
5,2021,4,13.0,21.652813390313387,7.864118083670714,52347.0,9.59641577060932,47.323297491039426,8.020071684587814,14.250179211469536,4.4057347670250895,3.190681003584229,62.16,2.0,0.014488073308928113
8,2020,1,9.1,34.54973515151516,0.0,16933.0,-9.553405017921149,-4.5992831541218635,-6.855913978494624,-3.783512544802868,-7.874551971326164,3.3913978494623653,0.0,2.0,2.432803609966647e-05
8,2020,2,15.9,35.43798518518519,3.5181228433402345,16933.0,-74.50860215053763,-53.69534050179211,-69.69713261648745,-73.68888888888887,-58.96129032258065,26.17849462365591,0.0,2.0,0.010537963507945851
8,2020,3,12.3,31.819404040404038,5.346643458393459,16933.0,-55.7763440860215,-31.808602150537638,-48.942652329749095,-55.42007168458781,-40.236200716845886,19.603225806451615,0.0,2.0,0.01907396507749657
8,2020,4,12.3,29.72776816239316,10.295692929292928,16933.0,-31.97741935483871,2.617562724014337,-26.673835125448036,-24.155197132616486,-19.844086021505376,11.680286738351256,0.0,2.0,0.01598744359427114
8,2021,1,11.6,33.771901035196684,1.0192698412698409,19024.0,-33.06067588325653,4.9293394777265735,-28.714669738863286,-25.33678955453149,-18.550691244239637,10.384024577572964,0.84,2.0,0.03210591157690878
8,2021,2,11.2,32.818194612794606,3.26549007936508,19024.0,-32.925806451612914,-2.4878136200716856,-28.649820788530466,-24.860215053763444,-21.183512544802863,14.25448028673835,15.63,2.0,0.0664244820296635
8,2021,3,10.2,30.70762777777779,3.401172871572872,19024.0,-1.9888888888888892,22.133333333333336,-1.0788530465949822,-3.3842293906810035,2.2516129032258068,7.3508960573476685,35.23,2.0,0.013446335698128569
8,2021,4,8.7,30.61817936507937,7.206285353535353,19024.0,15.825448028673835,38.2831541218638,12.172043010752688,16.636559139784946,10.467025089605734,4.625089605734766,57.5,2.0,0.013400078021281616
11,2020,1,11.8,22.7237825311943,4.945249321266969,214485.0,-11.907526881720429,-4.941218637992831,-9.636559139784945,-7.428673835125448,-4.171326164874553,4.912544802867384,0.0,2.0,4.9457932025689724e-05
11,2020,2,23.6,17.397859307359308,5.342135277777778,214485.0,-67.08602150537635,-39.26989247311828,-54.25089605734767,-64.75806451612904,-55.16917562724014,31.31792114695341,0.0,2.0,0.0038511329159324923
11,2020,3,22.0,17.546153216374268,6.109084529505582,214485.0,-50.94050179211471,-23.20716845878136,-37.43870967741936,-50.38745519713262,-38.372759856630815,22.93010752688172,0.0,2.0,0.03125896263601738
11,2020,4,16.3,19.471980303030303,4.959515901875903,214485.0,-35.38853046594982,-3.6695340501792115,-27.717921146953405,-18.103225806451615,-24.558064516129036,13.529749103942654,0.0,2.0,0.027673327130645773
11,2021,1,20.1,19.989400000000003,3.9902865769496207,237244.0,-41.88709677419353,-7.943548387096776,-34.83870967741935,-21.908602150537632,-28.001920122887867,14.942396313364055,0.97,2.0,0.026329027706455583
11,2021,2,18.1,16.620688627162313,6.277957692307693,237244.0,-31.98853046594982,4.788888888888889,-22.844086021505376,-13.121146953405015,-23.209318996415767,16.093189964157705,16.96,2.0,0.0758049962427403
11,2021,3,14.4,16.012739804639804,5.815893648763852,237244.0,-10.067025089605737,22.9168458781362,-2.776702508960573,15.17885304659498,-6.203584229390682,9.311827956989248,41.62,2.0,0.020906243127061245
11,2021,4,11.3,19.06533626177745,5.417185185185184,237244.0,4.4103942652329735,36.28781362007168,6.50967741935484,33.055197132616485,0.24767025089605746,5.511469534050178,63.44,2.0,0.004864078082583637
13,2020,1,9.9,33.089806008806015,0.129,13501.0,-15.412186379928315,-11.268817204301074,-19.773476702508958,-14.632258064516128,-4.816487455197133,3.5232974910394264,0.0,1.0,3.888266766206296e-05
13,2020,2,19.4,31.12256182336182,2.5479102564102565,13501.0,-78.72186379928316,-61.752329749103936,-82.53584229390681,-85.83691756272401,-60.697491039426524,25.647670250896052,0.0,1.0,0.008118701007838746
13,2020,3,18.1,26.79293772893773,5.261465949820789,13501.0,-65.4663082437276,-41.21039426523297,-70.9709677419355,-78.04229390681003,-41.77240143369176,19.12974910394265,0.0,1.0,0.01478610644519099
13,2020,4,12.1,26.854935960281548,7.131762820512821,13501.0,-43.47992831541219,-11.6584229390681,-50.76953405017922,-51.830465949820784,-24.275627240143372,12.188888888888886,0.0,1.0,0.021041355605325367
13,2021,1,11.5,31.63010606060605,1.0154920634920634,15383.0,-38.52611367127496,-4.949692780337942,-42.84600614439324,-37.0752688172043,-19.713517665130567,9.149769585253457,0.6,1.0,0.013558432302672795
13,2021,2,11.0,29.45182121212121,3.5233532763532764,15383.0,-33.97096774193548,2.2146953405017924,-39.687455197132614,-32.560573476702515,-14.829032258064515,11.03584229390681,13.48,1.0,0.04640941982477685
13,2021,3,8.9,26.74420555555556,3.991151234567901,15383.0,-8.58279569892473,23.393189964157706,-19.235483870967737,-4.653046594982079,1.2655913978494622,6.747311827956989,29.47,1.0,0.01458915670267816
13,2021,4,9.4,26.58301182844933,6.504927505545473,15383.0,10.810394265232976,46.033691756272404,-7.391397849462366,8.741935483870968,10.702867383512547,3.7487455197132618,45.2,1.0,0.00659912675802691
15,2020,1,15.9,24.942070194700626,6.279298412698412,3132.0,-11.911111111111113,-2.1935483870967745,-10.587096774193547,11.562724014336915,-0.7749103942652328,4.517562724014337,0.0,1.0,1.1156791976035213e-05
15,2020,2,23.7,21.43332517482517,5.203042892156862,3132.0,-73.1426523297491,-40.04982078853046,-60.427240143369175,-64.75017921146953,-51.23118279569892,30.24121863799283,0.0,1.0,0.0006192019546699543
15,2020,3,24.1,18.878614814814814,4.5669427294197025,3132.0,-56.344444444444434,-8.02078853046595,-45.92401433691757,-43.552688172043005,-32.315053763440865,21.380286738351263,0.0,1.0,0.01179272911866922
15,2020,4,19.7,19.421208333333336,6.538912719298246,3132.0,-37.986379928315415,21.608243727598566,-34.9415770609319,-40.72222222222222,-19.71541218637993,13.568817204301073,0.0,1.0,0.03691782464870051
15,2021,1,19.8,22.041902777777786,4.181128571428571,3393.0,-40.932027649769594,18.023425499231948,-36.986175115207374,-33.72811059907834,-18.120967741935484,13.128648233486945,1.49,1.0,0.02891431482876257
15,2021,2,18.6,19.491216666666666,6.380455804544039,3393.0,-31.00573476702509,39.5774193548387,-22.95376344086021,28.801075268817204,-3.859498207885305,14.468458781362006,20.97,1.0,0.0656816268663329
15,2021,3,16.0,17.808468253968254,6.005092803030302,3393.0,-6.6795698924731175,70.51648745519714,-1.3544802867383507,118.64910394265232,21.855913978494627,8.025089605734768,43.36,1.0,0.01988724469451952
15,2021,4,13.4,20.445150560347358,6.522933080808081,3393.0,13.922222222222222,94.84336917562723,14.944086021505376,89.16917562724014,33.12939068100358,3.6129032258064515,66.04,1.0,0.005045190731469585
17,2020,1,14.9,23.758845658263308,12.218574277574275,5771.0,-16.020071684587815,-13.14121863799283,-16.09605734767025,-16.0078853046595,-6.530465949820787,4.610752688172044,0.0,1.0,1.1206741975972744e-05
17,2020,2,25.6,23.69022222222221,6.58534541062802,5771.0,-69.45949820788529,-50.26559139784946,-61.131541218638,-84.14623655913978,-49.54121863799283,26.10035842293907,0.0,1.0,0.00027344450421373497
17,2020,3,22.3,22.552854166666666,7.769798941798941,5771.0,-49.58781362007168,-27.72974910394265,-38.6752688172043,-57.953763440860214,-31.28494623655914,16.9405017921147,0.0,1.0,0.007490586336740183
17,2020,4,17.6,22.61418215811965,8.995834967320262,5771.0,-39.86953405017921,-7.422580645161292,-28.637992831541208,-30.753405017921146,-24.122939068100358,11.87741935483871,0.0,1.0,0.04446386946386947
17,2021,1,18.9,22.798166666666663,11.414802424242424,6398.0,-38.861751152073744,-11.318356374807987,-28.35944700460829,-26.68010752688172,-23.501920122887867,9.637864823348695,0.74,1.0,0.026166808124886132
17,2021,2,16.4,22.82374810606061,8.83915090909091,6398.0,-30.053405017921147,-18.265591397849466,-22.790681003584233,-28.464516129032265,-25.27956989247312,11.96200716845878,18.58,1.0,0.06385616587494501
17,2021,3,12.2,22.844285714285718,8.293574534161491,6398.0,-7.337275985663083,-2.095340501792115,-2.0810035842293906,1.7465949820788529,-10.0168458781362,5.811111111111112,37.23,1.0,0.012431289076907355
17,2021,4,9.3,22.115867724867726,11.447484848484848,6398.0,6.37168458781362,6.886021505376344,6.654480286738352,28.245161290322585,-3.8207885304659506,2.8770609318996416,56.03,1.0,0.003039500171082977
18,2020,1,18.1,24.159668590668588,8.680128571428574,1427.0,-10.250179211469533,-6.747670250896058,-9.387813620071684,0.0,-0.8222222222222223,2.7591397849462367,0.0,1.0,0.0
18,2020,2,31.2,21.766429653679648,13.169053845087028,1427.0,-61.03118279569893,-39.18064516129032,-52.316487455197134,-5.7928315412186375,-40.742652329749106,20.435483870967747,0.0,1.0,0.00019651929646091867
18,2020,3,27.2,22.12906239316239,11.292621710526314,1427.0,-42.903225806451616,-13.278086763070073,-37.374119391916935,-5.384872080088988,-30.79162031887282,17.195031516499814,0.0,1.0,0.03747160585165105
18,2020,4,17.6,23.97718055555556,7.767781270305394,1427.0,-22.005017921146955,19.561290322580646,-16.684946236559142,-2.2724014336917557,-11.702508960573475,8.161648745519713,0.0,1.0,0.026506985104993323
18,2021,1,16.8,22.53538888888889,9.737103709508883,1532.0,-19.31490015360983,27.501920122887867,-20.50806451612904,-1.021505376344086,-10.155529953917053,5.189324116743472,0.62,1.0,0.009608840132922288
18,2021,2,19.4,21.946007407407407,14.818609090909092,1532.0,-13.976702508960575,42.867025089605725,-12.828315412186381,-0.4516129032258064,-1.8046594982078852,6.797132616487455,11.01,1.0,0.012628761317555007
18,2021,3,19.6,23.57361667961668,17.437792592592594,1532.0,5.163082437275985,61.25770609318997,8.31505376344086,0.0,14.86810035842294,2.8376344086021508,27.45,1.0,0.00873374933510258
18,2021,4,16.1,24.218768055555557,7.539624920634919,1532.0,18.60430107526882,81.58888888888889,23.619713261648744,0.0,23.203584229390678,-1.2734767025089606,43.22,1.0,0.0012697395889933025
19,2020,1,17.0,23.779413900913898,12.126235526315787,3192.0,-14.043010752688177,-7.592831541218637,-12.832258064516127,0.0,-1.9935483870967747,4.279569892473118,0.0,4.0,2.7651723470475643e-05
19,2020,2,33.7,23.447459259259247,4.493399126984127,3192.0,-70.08673835125447,-52.981362007168464,-66.88028673835124,0.0,-51.31863799283153,26.889605734767017,0.0,4.0,0.00042092067949501806
19,2020,3,25.2,23.899573412698413,4.753184776688453,3192.0,-47.09032258064517,-22.301075268817204,-45.08387096774194,0.0,-26.85304659498208,17.182437275985663,0.0,4.0,0.019663447801227123
19,2020,4,18.2,23.723188636363634,10.149141865079367,3192.0,-29.420071684587807,7.649103942652329,-31.62150537634409,0.0,-12.675985663082438,11.073118279569893,0.0,4.0,0.02190323740233565
19,2021,1,18.9,21.973150584795324,9.72714500674764,3495.0,-32.46889400921659,0.3214285714285712,-37.57680491551459,0.0,-15.934715821812595,9.869047619047619,0.92,4.0,0.019360697753086343
19,2021,2,19.8,22.80052685185185,6.720268534621577,3495.0,-22.218996415770608,16.908960573476698,-30.499641577060927,0.0,-10.878494623655913,11.40931899641577,18.05,4.0,0.024846177991643785
19,2021,3,15.8,23.643377558479532,3.433616666666666,3495.0,-0.15017921146953425,37.65698924731183,-14.220788530465946,0.0,2.3870967741935485,4.846236559139785,39.46,4.0,0.02060712076284745
19,2021,4,15.0,22.306064407814407,13.300617984230726,3495.0,20.599283154121864,61.5405017921147,-2.2078853046594986,0.0,16.065591397849463,1.845161290322581,59.48,4.0,0.003535087264848128
20,2020,1,19.0,31.57499014109347,1.2675749158249157,5865.0,-13.141935483870967,-7.5605734767025075,-12.405017921146953,-16.073835125448028,-0.524731182795699,3.0695340501792114,0.0,1.0,2.063960251878204e-05
20,2020,2,23.7,24.425023809523807,5.530094214029698,5865.0,-69.48494623655914,-49.12831541218638,-62.46917562724014,-81.60788530465948,-46.97992831541219,22.860215053763447,0.0,1.0,0.0011933442910859436
20,2020,3,23.9,22.36936257309941,4.8719,5865.0,-53.40465949820789,-31.48924731182796,-47.25161290322581,-49.396774193548396,-28.408243727598567,16.524372759856632,0.0,1.0,0.02655003414916053
20,2020,4,19.2,24.34462431372549,6.270294418842808,5865.0,-33.42508960573477,4.562724014336918,-36.517204301075274,-47.47706093189964,-12.912186379928315,9.92867383512545,0.0,1.0,0.015410277771523354
20,2021,1,20.4,30.231502952227586,1.617028787878788,6101.0,-25.70353302611367,2.3840245775729647,-30.059907834101377,-41.371351766513044,-12.711597542242705,6.198924731182796,0.61,1.0,0.012274550018929159
20,2021,2,19.1,24.526392156862745,5.766040123456791,6101.0,-31.318637992831544,0.17275985663082358,-34.23046594982079,-38.02078853046596,-17.372043010752687,10.25125448028674,12.01,1.0,0.050153087290998176
20,2021,3,18.0,23.87680980392157,3.8188466947401873,6101.0,0.7616487455197133,32.544444444444444,-7.4824372759856645,-12.131541218637993,1.3698924731182796,3.5964157706093194,26.07,1.0,0.007564313202262677
20,2021,4,15.8,24.85753333333333,5.327744254691122,6101.0,22.093906810035843,53.994623655913976,10.870250896057348,17.24372759856631,10.2168458781362,0.6050179211469534,42.86,1.0,0.00591398442295464
23,2020,1,12.4,34.389250915750914,3.4695000000000005,3845.0,-12.036559139784947,-6.962724014336917,-6.058781362007169,0.035842293906810006,-2.5591397849462356,2.8824372759856627,0.0,1.0,1.978889209908694e-06
23,2020,2,24.8,31.770422222222226,5.594972670807454,3845.0,-70.38028673835127,-45.99032258064516,-45.330107526881726,-45.615053763440855,-47.209318996415774,23.347311827956986,0.0,1.0,0.000795513462383295
23,2020,3,22.1,27.77464021164021,6.305861941251599,3845.0,-61.035842293906796,-36.802150537634404,-40.59247311827957,-45.46236559139785,-39.63046594982078,20.523297491039425,0.0,1.0,0.027797456731587424
23,2020,4,17.4,28.21686111111111,4.607259829059829,3845.0,-28.405376344086022,15.543369175627241,-14.783154121863802,-27.438709677419357,-14.529032258064516,9.55125448028674,0.0,1.0,0.006779674433147186
23,2021,1,17.1,33.08968376068376,5.154836591478697,4219.0,-30.572580645161292,16.431643625192013,-16.054915514592935,-28.183179723502306,-15.18125960061444,7.134408602150539,0.76,1.0,0.016741960679647852
23,2021,2,15.6,27.146577777777768,8.004939255189255,4219.0,-24.28817204301076,20.974193548387092,-14.956630824372759,-22.78243727598566,-12.443010752688172,9.389247311827956,12.24,1.0,0.040024884311501335
23,2021,3,17.1,26.948894444444445,7.116618584141109,4219.0,3.795340501792115,43.44695340501792,4.734408602150538,-5.697491039426524,1.6630824372759854,5.082078853046595,28.46,1.0,0.013533297485271548
23,2021,4,15.5,27.123242857142852,4.335049206349207,4219.0,30.873118279569894,71.21182795698923,18.483512544802867,-6.406810035842294,13.193906810035847,1.4559139784946236,43.55,1.0,0.001464013910094631
27,2020,1,22.5,19.108803442028986,7.459441102756891,784.0,-12.936200716845882,-5.076702508960573,-22.068100358422942,-13.657347670250894,1.5885304659498207,1.8673835125448033,0.0,1.0,0.0
27,2020,2,18.0,20.52998611111111,20.158935236682733,784.0,-63.23655913978496,-44.98172043010753,-50.349820788530465,-70.56057347670252,-47.62903225806453,13.7921146953405,0.0,1.0,0.009730556086374928
27,2020,3,21.2,20.52339797979798,20.473434408602152,784.0,-41.34768447402856,-34.65281333560903,-23.668216988109464,-52.49677134892189,-34.19171360300393,13.216931216931215,0.0,1.0,0.01052551117905599
27,2020,4,20.0,18.812695833333336,19.846019123031073,784.0,-26.17347670250896,-14.95448028673835,11.257347670250898,-30.785663082437267,-16.059139784946233,8.351971326164874,0.0,1.0,0.004739155360214025
27,2021,1,21.9,19.58172061965812,16.377159047619045,842.0,-27.355606758832565,-15.6221198156682,18.042242703533024,-42.970046082949324,-17.121351766513058,6.549539170506913,0.6,1.0,0.009773592344903931
27,2021,2,21.9,19.56481613756614,17.580873946360153,842.0,-16.895340501792116,-1.4043010752688172,7.915412186379927,-34.50681003584229,-11.803584229390681,8.470250896057347,12.69,1.0,0.04017105682180065
27,2021,3,18.6,20.526362074744426,14.488672043010752,842.0,7.0663082437275975,20.89283154121864,16.99068100358423,-16.946953405017922,6.924014336917563,3.4924731182795696,32.37,1.0,0.005838375566777368
27,2021,4,19.9,18.33450641025641,19.801086281534566,842.0,27.389247311827955,46.09820788530465,28.36989247311828,-8.470609318996415,15.331899641577063,0.93584229390681,47.01,1.0,0.0007809775108806091
41,2020,1,17.9,24.6883489729225,9.931214705882347,4267.0,-13.18494623655914,-9.449462365591398,-14.960573476702509,0.0,-5.1749103942652335,4.2415770609319,0.0,1.0,5.762771399091128e-05
41,2020,2,40.6,24.689517482517484,5.72609440267335,4267.0,-68.66093189964157,-52.43082437275985,-61.120430107526886,0.0,-49.668458781362006,25.740501792114696,0.0,1.0,0.00045827753507058017
41,2020,3,26.4,25.397994912494912,5.397360648148148,4267.0,-48.71146953405018,-27.555913978494626,-34.57741935483871,0.0,-26.499641577060927,15.90035842293907,0.0,1.0,0.02088318587956357
41,2020,4,19.7,24.89524725992962,8.867186631016041,4267.0,-30.09605734767025,-4.493548387096775,-14.978136200716847,0.0,-14.801433691756273,9.76594982078853,0.0,1.0,0.044537990384404286
41,2021,1,20.6,23.54801309523809,9.718639097744363,4616.0,-33.38863287250384,-4.7211981566820285,-35.16781874039938,0.0,-15.751536098310295,8.35752688172043,0.92,1.0,0.0261295590636908
41,2021,2,19.5,23.451864705882354,7.2412846356542016,4616.0,-18.438351254480285,13.662007168458778,-31.999283154121862,0.0,-10.172043010752688,7.786021505376342,15.53,1.0,0.038238976592270005
41,2021,3,17.0,25.37627692307693,4.89570652173913,4616.0,1.0587813620071689,29.226881720430107,-20.43799283154122,0.0,0.055913978494623734,4.102508960573476,32.85,1.0,0.01876428960261296
